0,date,is_school_day,is_work_day
1,2022-08-08,0,1
2,2022-08-09,0,1
3,2022-08-10,0,1
4,2022-08-11,0,1
5,2022-08-12,0,1
6,2022-08-13,0,0
7,2022-08-14,0,0
8,2022-08-15,0,1
9,2022-08-16,0,1
10,2022-08-17,0,1
11,2022-08-18,0,1
12,2022-08-19,0,1
13,2022-08-20,0,0
14,2022-08-21,0,0
15,2022-08-22,0,1
16,2022-08-23,0,1
17,2022-08-24,0,1
18,2022-08-25,0,1
19,2022-08-26,0,1
20,2022-08-27,0,0
21,2022-08-28,0,0
22,2022-08-29,0,1
23,2022-08-30,0,1
24,2022-08-31,0,1
25,2022-09-01,1,1
26,2022-09-02,1,1
27,2022-09-03,0,0
28,2022-09-04,0,0
29,2022-09-05,1,1
30,2022-09-06,1,1
31,2022-09-07,1,1
32,2022-09-08,1,1
33,2022-09-09,1,1
34,2022-09-10,0,0
35,2022-09-11,0,0
36,2022-09-12,1,1
37,2022-09-13,1,1
38,2022-09-14,1,1
39,2022-09-15,1,1
40,2022-09-16,1,1
41,2022-09-17,0,0
42,2022-09-18,0,0
43,2022-09-19,1,1
44,2022-09-20,1,1
45,2022-09-21,1,1
46,2022-09-22,1,1
47,2022-09-23,1,1
48,2022-09-24,0,0
49,2022-09-25,0,0
50,2022-09-26,1,1
51,2022-09-27,1,1
52,2022-09-28,1,1
53,2022-09-29,1,1
54,2022-09-30,1,1
55,2022-10-01,0,0
56,2022-10-02,0,0
57,2022-10-03,1,1
58,2022-10-04,1,1
59,2022-10-05,1,1
60,2022-10-06,1,1
61,2022-10-07,1,1
62,2022-10-08,0,0
63,2022-10-09,0,0
64,2022-10-10,1,1
65,2022-10-11,1,1
66,2022-10-12,1,1
67,2022-10-13,1,1
68,2022-10-14,1,1
69,2022-10-15,0,0
70,2022-10-16,0,0
71,2022-10-17,1,1
72,2022-10-18,1,1
73,2022-10-19,1,1
74,2022-10-20,1,1
75,2022-10-21,1,1
76,2022-10-22,0,0
77,2022-10-23,0,0
78,2022-10-24,1,1
79,2022-10-25,1,1
80,2022-10-26,1,1
81,2022-10-27,1,1
82,2022-10-28,1,1
83,2022-10-29,0,0
84,2022-10-30,0,0
85,2022-10-31,1,1
86,2022-11-01,1,1
87,2022-11-02,1,1
88,2022-11-03,1,1
89,2022-11-04,1,1
90,2022-11-05,0,0
91,2022-11-06,0,0
92,2022-11-07,1,1
93,2022-11-08,1,1
94,2022-11-09,1,1
95,2022-11-10,1,1
96,2022-11-11,1,1
97,2022-11-12,0,0
98,2022-11-13,0,0
99,2022-11-14,1,1
100,2022-11-15,1,1
101,2022-11-16,1,1
102,2022-11-17,1,1
103,2022-11-18,1,1
104,2022-11-19,0,0
105,2022-11-20,0,0
106,2022-11-21,1,1
107,2022-11-22,1,1
108,2022-11-23,1,1
109,2022-11-24,1,1
110,2022-11-25,1,1
111,2022-11-26,0,0
112,2022-11-27,0,0
113,2022-11-28,1,1
114,2022-11-29,1,1
115,2022-11-30,1,1
116,2022-12-01,1,1
117,2022-12-02,1,1
118,2022-12-03,0,0
119,2022-12-04,0,0
120,2022-12-05,1,1
121,2022-12-06,1,1
122,2022-12-07,1,1
123,2022-12-08,1,1
124,2022-12-09,1,1
125,2022-12-10,0,0
126,2022-12-11,0,0
127,2022-12-12,1,1
128,2022-12-13,1,1
129,2022-12-14,1,1
130,2022-12-15,1,1
131,2022-12-16,1,1
132,2022-12-17,0,0
133,2022-12-18,0,0
134,2022-12-19,0,1
135,2022-12-20,0,1
136,2022-12-21,0,1
137,2022-12-22,0,1
138,2022-12-23,0,1
139,2022-12-24,0,0
140,2022-12-25,0,0
141,2022-12-26,0,1
142,2022-12-27,0,1
143,2022-12-28,0,1
144,2022-12-29,0,1
145,2022-12-30,0,1
146,2022-12-31,0,0
147,2023-01-01,0,0
148,2023-01-02,0,1
149,2023-01-03,1,1
150,2023-01-04,1,1
151,2023-01-05,1,1
152,2023-01-06,1,1
153,2023-01-07,0,0
154,2023-01-08,0,0
155,2023-01-09,1,1
156,2023-01-10,1,1
157,2023-01-11,1,1
158,2023-01-12,1,1
159,2023-01-13,1,1
160,2023-01-14,0,0
161,2023-01-15,0,0
162,2023-01-16,1,1
163,2023-01-17,1,1
164,2023-01-18,1,1
165,2023-01-19,1,1
166,2023-01-20,1,1
167,2023-01-21,0,0
168,2023-01-22,0,0
169,2023-01-23,1,1
170,2023-01-24,1,1
171,2023-01-25,1,1
172,2023-01-26,1,1
173,2023-01-27,1,1
174,2023-01-28,0,0
175,2023-01-29,0,0
176,2023-01-30,1,1
