0,date,daily_vaccines
1,2023-07-15,"[[0.004845553],[0.004845553],[0.004845553],[0.004845553],[0.004845553]]"
2,2023-07-16,"[[0.000136204],[0.000136204],[0.000136204],[0.000136204],[0.000136204]]"
3,2023-07-17,"[[0.000140331],[0.000140331],[0.000140331],[0.000140331],[0.000140331]]"
4,2023-07-18,"[[0.000144459],[0.000144459],[0.000144459],[0.000144459],[0.000144459]]"
5,2023-07-19,"[[0.000148586],[0.000148586],[0.000148586],[0.000148586],[0.000148586]]"
6,2023-07-20,"[[0.000152713],[0.000152713],[0.000152713],[0.000152713],[0.000152713]]"
7,2023-07-21,"[[0.000156841],[0.000156841],[0.000156841],[0.000156841],[0.000156841]]"
8,2023-07-22,"[[0.000160968],[0.000160968],[0.000160968],[0.000160968],[0.000160968]]"
9,2023-07-23,"[[0.000163032],[0.000163032],[0.000163032],[0.000163032],[0.000163032]]"
10,2023-07-24,"[[0.000167159],[0.000167159],[0.000167159],[0.000167159],[0.000167159]]"
11,2023-07-25,"[[0.00017335],[0.00017335],[0.00017335],[0.00017335],[0.00017335]]"
12,2023-07-26,"[[0.000177478],[0.000177478],[0.000177478],[0.000177478],[0.000177478]]"
13,2023-07-27,"[[0.000183669],[0.000183669],[0.000183669],[0.000183669],[0.000183669]]"
14,2023-07-28,"[[0.000187796],[0.000187796],[0.000187796],[0.000187796],[0.000187796]]"
15,2023-07-29,"[[0.000193987],[0.000193987],[0.000193987],[0.000193987],[0.000193987]]"
16,2023-07-30,"[[0.000198115],[0.000198115],[0.000198115],[0.000198115],[0.000198115]]"
17,2023-07-31,"[[0.000204306],[0.000204306],[0.000204306],[0.000204306],[0.000204306]]"
18,2023-08-01,"[[0.000210497],[0.000210497],[0.000210497],[0.000210497],[0.000210497]]"
19,2023-08-02,"[[0.000216688],[0.000216688],[0.000216688],[0.000216688],[0.000216688]]"
20,2023-08-03,"[[0.000222879],[0.000222879],[0.000222879],[0.000222879],[0.000222879]]"
21,2023-08-04,"[[0.000227006],[0.000227006],[0.000227006],[0.000227006],[0.000227006]]"
22,2023-08-05,"[[0.000233197],[0.000233197],[0.000233197],[0.000233197],[0.000233197]]"
23,2023-08-06,"[[0.000239388],[0.000239388],[0.000239388],[0.000239388],[0.000239388]]"
24,2023-08-07,"[[0.00024558],[0.00024558],[0.00024558],[0.00024558],[0.00024558]]"
25,2023-08-08,"[[0.000253834],[0.000253834],[0.000253834],[0.000253834],[0.000253834]]"
26,2023-08-09,"[[0.000260025],[0.000260025],[0.000260025],[0.000260025],[0.000260025]]"
27,2023-08-10,"[[0.000266217],[0.000266217],[0.000266217],[0.000266217],[0.000266217]]"
28,2023-08-11,"[[0.000274471],[0.000274471],[0.000274471],[0.000274471],[0.000274471]]"
