week_ending,geo,flu_rate
9/2/23,PHR 7,0.3
9/9/23,PHR 7,0.1
9/16/23,PHR 7,0.3
9/23/23,PHR 7,0.3
9/30/23,PHR 7,0.3
10/7/23,PHR 7,0.6
10/14/23,PHR 7,0.9
10/21/23,PHR 7,0.9
10/28/23,PHR 7,1.2
11/4/23,PHR 7,1.5
11/11/23,PHR 7,1.6
11/18/23,PHR 7,2
11/25/23,PHR 7,2.2
12/2/23,PHR 7,2.1
12/9/23,PHR 7,2.9
12/16/23,PHR 7,2.4
12/23/23,PHR 7,5.1
12/30/23,PHR 7,6.5
1/6/24,PHR 7,6.4
1/13/24,PHR 7,6.4
1/20/24,PHR 7,5.6
1/27/24,PHR 7,6.4
2/3/24,PHR 7,7.8
2/10/24,PHR 7,6.1
2/17/24,PHR 7,5
2/24/24,PHR 7,3.5
3/2/24,PHR 7,2.7
3/9/24,PHR 7,1.6
3/16/24,PHR 7,1.3
3/23/24,PHR 7,0.9
3/30/24,PHR 7,1
4/6/24,PHR 7,1
4/13/24,PHR 7,0.9
4/20/24,PHR 7,0.8
4/27/24,PHR 7,0.6
