week_ending,flu_rate
1/7/23,4.1
1/14/23,2.5
1/21/23,1.6
1/28/23,1.1
2/4/23,0.9
2/11/23,0.9
2/18/23,0.8
2/25/23,0.7
3/4/23,0.6
3/11/23,0.5
3/18/23,0.5
3/25/23,0.4
4/1/23,0.5
4/8/23,0.4
4/15/23,0.4
4/22/23,0.3
4/29/23,0.3
5/6/23,0.6
5/13/23,0.3
5/20/23,0.3
5/27/23,0.3
6/3/23,0.3
6/10/23,0.2
6/17/23,0.3
6/24/23,0.4
7/1/23,0.3
7/8/23,0.3
7/15/23,0.3
7/22/23,0.3
7/29/23,0.3
8/5/23,0.4
8/12/23,0.4
8/19/23,0.4
8/26/23,0.4
9/2/23,0.4
9/9/23,0.4
9/16/23,0.4
9/23/23,0.3
9/30/23,0.4
10/7/23,0.4
10/14/23,0.5
10/21/23,0.8
10/28/23,0.8
11/4/23,1.1
11/11/23,1.4
11/18/23,1.4
11/25/23,1.8
12/2/23,2.3
12/9/23,2.7
12/16/23,3.8
12/23/23,5.1
12/30/23,6.4
1/6/24,6.8
1/13/24,6.4
1/20/24,5.4
1/27/24,6
2/3/24,6
2/10/24,4.8
2/17/24,3.6
2/24/24,3.2
3/2/24,2.6
3/9/24,2.1
3/16/24,1.8
3/23/24,1.3
3/30/24,1.2
4/6/24,1
4/13/24,0.9
4/20/24,0.8
4/27/24,0.5
5/4/24,0.3
5/11/24,0
