0,date,daily_vaccines
1,2022-08-08,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
2,2022-08-09,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
3,2022-08-10,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
4,2022-08-11,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
5,2022-08-12,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
6,2022-08-13,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
7,2022-08-14,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
8,2022-08-15,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
9,2022-08-16,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
10,2022-08-17,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
11,2022-08-18,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
12,2022-08-19,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
13,2022-08-20,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
14,2022-08-21,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
15,2022-08-22,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
16,2022-08-23,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
17,2022-08-24,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
18,2022-08-25,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
19,2022-08-26,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
20,2022-08-27,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
21,2022-08-28,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
22,2022-08-29,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
23,2022-08-30,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
24,2022-08-31,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
25,2022-09-01,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
26,2022-09-02,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
27,2022-09-03,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
28,2022-09-04,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
29,2022-09-05,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
30,2022-09-06,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
31,2022-09-07,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
32,2022-09-08,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
33,2022-09-09,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
34,2022-09-10,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
35,2022-09-11,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
36,2022-09-12,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
37,2022-09-13,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
38,2022-09-14,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
39,2022-09-15,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
40,2022-09-16,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
41,2022-09-17,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
42,2022-09-18,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
43,2022-09-19,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
44,2022-09-20,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
45,2022-09-21,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
46,2022-09-22,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
47,2022-09-23,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
48,2022-09-24,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
49,2022-09-25,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
50,2022-09-26,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
51,2022-09-27,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
52,2022-09-28,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
53,2022-09-29,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
54,2022-09-30,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
55,2022-10-01,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
56,2022-10-02,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
57,2022-10-03,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
58,2022-10-04,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
59,2022-10-05,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
60,2022-10-06,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
61,2022-10-07,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
62,2022-10-08,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
63,2022-10-09,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
64,2022-10-10,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
65,2022-10-11,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
66,2022-10-12,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
67,2022-10-13,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
68,2022-10-14,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
69,2022-10-15,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
70,2022-10-16,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
71,2022-10-17,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
72,2022-10-18,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
73,2022-10-19,"[[0.00001],[0.00002],[0.00003],[0.00004],[0.00005]]"
