Date,Doses
1,0
2,0
3,0
4,0
5,0
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,10
32,10
33,10
34,10
35,10
36,10
37,10
38,10
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,10
48,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,10
65,10
66,10
67,10
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,10
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,20
121,20
122,20
123,20
124,20
125,20
126,20
127,20
128,20
129,20
130,20
131,20
132,20
133,20
134,20
135,20
136,20
137,20
138,20
139,20
140,20
141,20
142,20
143,20
144,20
145,20
146,20
147,20
148,20
149,20
150,20
151,20
152,20
153,20
154,20
155,20
156,20
157,20
158,20
159,20
160,20
161,20
162,20
163,20
164,20
165,20
166,20
167,20
168,20
169,20
170,20
171,20
172,20
173,20
174,20
175,20
176,20
177,20
178,20
179,20
180,20
181,20
182,20
183,20
184,20
185,20
186,20
187,20
188,20
189,20
190,20
191,20
192,20
193,20
194,20
195,20
196,20
197,20
198,20
199,20
200,20
201,20
202,20
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,20
218,20
219,20
220,20
221,20
222,20
223,20
224,20
225,20
226,20
227,20
228,20
229,20
230,20
231,20
232,20
233,20
234,20
235,20
236,20
237,20
238,20
239,20
240,20
241,20
242,20
243,20
244,20
245,20
246,20
247,20
248,20
249,20
250,20
251,20
252,20
253,20
254,20
255,20
256,20
257,20
258,20
259,20
260,20
261,20
262,20
263,20
264,20
265,20
266,20
267,20
268,20
269,20
270,20
271,20
272,20
273,20
274,20
275,20
276,20
277,20
278,20
279,20
280,20
281,20
282,20
283,20
284,20
285,20
286,20
287,20
288,20
289,20
290,20
291,20
292,20
293,20
294,20
295,20
296,20
297,20
298,20
299,20
300,20
301,20
302,20
303,20
304,20
305,20
306,20
307,20
308,20
309,20
310,20
311,20
312,20
313,20
314,20
315,20
316,20
317,20
318,20
319,20
320,20
321,20
322,20
323,20
324,20
325,20
326,20
327,20
328,20
329,20
330,20
331,20
332,20
333,20
334,20
335,20
336,20
337,20
338,20
339,20
340,20
341,20
342,20
343,20
344,20
345,20
346,20
347,20
348,20
349,20
350,20
351,20
352,20
353,20
354,20
355,20
356,20
357,20
358,20
359,20
360,20
361,20
362,20
363,20
364,20
365,20
